,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
duration,0.1014669547709202,0.3017154730368931,0.17779785467764125,-0.003903968201414296,0.21818163916914254,0.17516054177477958,0.4964181884981289,0.35032737666528885,-0.17201956784924927
force_peak_amplitude,-0.01384875903703857,0.4373456001258867,-0.10788083119946583,0.023705259363505427,-0.009894637597140668,-0.0605270533790861,-0.20128946663869413,-0.06298891215827084,0.01900046751628712
force_width_0.5 s,0.3106035227351893,0.17889958464404188,0.04141903834871063,-0.10809374682658468,0.2284893826560191,0.07893370404200278,0.36039212689676686,-0.23428547892267018,0.03202512412108323
force_width_0.2 s,0.35649570584007245,0.18262699474203073,-0.14786420588911905,0.060846999844197454,-0.1330219038565977,-0.09569880303954846,-0.05610212292137954,0.05444277284183698,0.11222236955591271
force_width_0.8 s,0.2048301671445986,0.36389840268098433,-0.19078258195367595,0.05453214769892754,-0.1458561574622503,-0.1507073535352228,-0.22066132694375237,0.009247339525128122,0.08691584802319166
force_rise_time_0.2_0.8 s,-0.0707670362914645,-0.31191683043150664,-0.08052348944505491,0.06420460271156361,-0.16001767558829363,-0.06950670446780023,-0.03131903356782939,0.7145440319255201,0.3287397155660294
force_rise_time_0.8_max s,0.07960548100116062,0.018990348073704245,-0.2041957166391103,0.7594585911131067,0.010131215495497739,-0.02978799282826091,0.35283737849453073,0.0725387292628616,0.10554207136689328
force_decay_time_max_0.8 s,0.12561286794264606,0.17319853008090105,0.0721466711412381,-0.5224157573405386,-0.4034912568720412,0.10061239535606742,0.2695781623356522,0.2634321055728721,0.10908473648046542
force_decay_time_0.2_0.8 s,0.21036279746906772,0.35411986743079704,-0.16221442330719485,0.061717345348132016,-0.20293035220690311,-0.1376622890444739,-0.18075923430623497,0.08961534504260754,0.09620210815516854
calc_peak_amplitude,-0.16292798971642344,0.12954099961428536,0.2152498366831077,0.12483196645703751,-0.14316870726100586,0.6061869323266754,-0.04396649527107879,-0.22539580189149372,0.6540417874672335
calc_width_0.5 s,0.37605247313022433,-0.16706707356641437,-0.06479396651394288,0.011341988348912403,-0.04215628142747973,0.1539239279648132,-0.04860628125910878,0.012191752503323343,-0.0366633787671358
calc_width_0.2 s,0.3184776048578926,-0.2810996012790453,-0.07053806053691904,-0.03788720198607611,-0.1331736041971979,0.0810864699839669,-0.06152815960259944,-0.14601298560663373,-0.003216676193073007
calc_width_0.8 s,0.32293170399126664,-0.014761607468928236,0.2579281631716538,0.11676585477142917,0.16863133480035336,0.3432542657051413,-0.3255388538840447,0.20404915103573992,-0.1562199606425818
calc_rise_time_0.2_0.8 s,-0.12302559594282952,-0.019993184375508427,-0.3843358539583699,0.09350030317523067,-0.47331075933147054,0.49340246755816664,0.10269651102957805,-0.03732281037473062,-0.5016904709711868
calc_rise_time_0.8_max s,0.13715805335582978,-0.04182211298233028,-0.4577434025192405,-0.1737500150803408,0.529210337013179,0.3447740134605897,-0.2162435549824472,0.18244252210306405,0.062142718608204715
calc_decay_time_max_0.8 s,0.22820218694967928,-0.013244756965773255,0.5649512712002224,0.21716399864832867,-0.1733378085792047,0.024960328576523423,-0.23582112235659,0.087763196388635,-0.24341430291020227
calc_decay_time_0.2_0.8 s,0.2655074764893609,-0.31404162999645346,-0.1298760347240233,-0.08003850878879311,-0.1698480999594142,-0.0692516963553925,0.04691652455378878,-0.22609106954802868,0.1252627871008533
local_frequency[Hz],-0.34989352682297753,0.20491940731825464,-0.041947718147126715,0.0125102809441975,0.0010996772150869353,0.09733389541638951,-0.26707920308672994,0.12122671236529882,-0.15647664767227784
