,PC1,PC2,PC3,PC4,PC5,PC6,PC7
duration,0.055686709895266626,-0.1171891624592482,-0.03684976958828395,0.8535735141032935,0.4954981554481325,-0.01630894777658741,-0.034950729326130595
force_peak_amplitude,0.2949164760107631,-0.10868666214231526,0.031430385995609225,0.009023573726554289,-0.08754749023296031,-0.023306283333341546,0.013932775963153711
force_width_0.5 s,0.305757862944184,-0.006066366691355728,-0.05386032487484944,0.004241074602048946,-0.04064409178775971,-0.13571942826833844,-0.1262811889006725
force_width_0.2 s,0.3055410828641667,-0.0024807596907592726,-0.06372390358370493,0.008072250076354594,-0.04589992015905735,-0.11738255456043781,-0.10731587748423177
force_width_0.8 s,0.3008164517760369,-0.0317213414928373,-0.057983436554106635,0.02223276940303136,-0.07933586606752983,-0.13373576692865807,-0.1303304288051811
force_rise_time_0.2_0.8 s,0.29960019624441886,-0.010022072381836973,-0.03907240994082099,-0.001061864549534957,-0.0481389855022302,-0.04752059232879367,-0.06626966396943426
force_rise_time_0.8_max s,0.27203408150755104,0.012147939635005128,-0.059223029246453285,-0.018033553446729998,-0.04954126015440676,-0.18784612145475335,-0.40465528690751534
force_decay_time_max_0.8 s,0.26927586794592606,-0.022660382660468055,-0.031351814500236365,-0.04611576930841502,-0.0772690354126881,-0.08286078672793841,0.18036104998419483
force_decay_time_0.2_0.8 s,0.2765696552881806,0.10833566007444137,-0.16639174804951212,0.02287897857607047,-0.011103756858970575,-0.15550122355221382,-0.17363933713660268
calc_peak_amplitude,0.16194770439237002,-0.4469514938597732,0.24960581371488608,0.054721955657891605,-0.21074181992788366,0.1381935739173936,-0.14146283924794661
calc_width_0.5 s,0.2824694236756488,0.003914452381797076,0.02700296840979267,-0.05247139936767185,0.05071803381861802,0.1828922960002011,0.013319281062072159
calc_width_0.2 s,0.1789230417079356,0.33687328050847015,0.5083719335863511,-0.0020729520839390583,0.10557465072666428,0.10578389130060836,0.04753784333443162
calc_width_0.8 s,0.2713474911880665,-0.053146330346286096,-0.011698535562425741,-0.18290341685107037,0.3195201480199271,0.4077054180322008,0.19718005372261885
calc_rise_time_0.2_0.8 s,0.18645240475542907,0.3777033205515615,-0.0696748849862588,0.07545646971934628,-0.020108149798254975,-0.42720624878418967,0.6283037226428898
calc_rise_time_0.8_max s,0.21519102406635066,0.2683078655006028,-0.23524615143566624,0.1398492400441064,-0.17671018592557916,0.6784206316604253,0.11923911083164315
calc_decay_time_max_0.8 s,0.14884291718979442,-0.3279335796044302,0.19662352880372258,-0.37044420714214926,0.5849440795098083,-0.0873522398360032,0.16714064335858103
calc_decay_time_0.2_0.8 s,0.011002305241463462,0.34776142651541675,0.6737562841068763,0.09656968782741544,-0.04736126596682917,-0.002612780067174381,-0.20864626106137338
local_frequency[Hz],-0.06942999006200168,0.44909925054097893,-0.28144718947683384,-0.23825435470915762,0.4354785139390986,0.012580616363154381,-0.42606879891169774
